timestamp,query,volume,related_top,related_rising
2025-10-08T00:01:07.454882,benzine motorine zam,10 B+,"benzine motorine zam son dakika, benzine motorine zam güncel",
2025-10-08T00:01:07.956001,hüseyin kocabıyık,20 B+,"hüseyin kocabıyık güncel, hüseyin kocabıyık son dakika",
2025-10-08T00:01:08.457149,kenan yıldız,10 B+,"kenan yıldız güncel, kenan yıldız son dakika",
2025-10-08T00:01:08.958219,show tv,20 B+,"show tv son dakika, show tv güncel",
2025-10-08T00:01:09.459156,çeyrek altın fiyatı,50 B+,"çeyrek altın fiyatı son dakika, çeyrek altın fiyatı güncel",
2025-10-08T00:01:09.960112,cemre baysel,5 B+,"cemre baysel güncel, cemre baysel son dakika",
2025-10-08T00:01:10.461083,beşiktaş - london lions,5 B+,"beşiktaş - london lions son dakika, beşiktaş - london lions güncel",
2025-10-08T00:01:10.962258,ales başvuru,10 B+,"ales başvuru güncel, ales başvuru son dakika",
2025-10-08T00:01:11.463437,uzak şehir 33 bölüm fragmanı,10 B+,"uzak şehir 33 bölüm fragmanı güncel, uzak şehir 33 bölüm fragmanı son dakika",
2025-10-08T00:01:11.964526,atv canli yayın izle 2025,2 B+,"atv canli yayın izle 2025 son dakika, atv canli yayın izle 2025 güncel",
2025-10-08T00:01:12.465601,açık öğretim lisesi,1 B+,"açık öğretim lisesi son dakika, açık öğretim lisesi güncel",
2025-10-08T00:01:12.966684,show yayın akışı,5 B+,"show yayın akışı son dakika, show yayın akışı güncel",
2025-10-08T00:01:13.467777,bruce willis,2 B+,"bruce willis son dakika, bruce willis güncel",
2025-10-08T00:01:13.969015,selahattin demirtaş son dakika,2 B+,"selahattin demirtaş son dakika güncel, selahattin demirtaş son dakika son dakika",
2025-10-08T00:01:14.469985,halid beslic,2 B+,"halid beslic güncel, halid beslic son dakika",
